frame,tiempo_s,id_jugador,equipo,x_m,y_m
630,25.2,1,0,30.86,5.35
635,25.4,1,0,30.85,5.55
640,25.6,2,0,29.28,13.74
645,25.8,4,0,29.55,13.01
645,25.8,3,0,42.19,14.34
645,25.8,2,0,29.38,13.34
650,26.0,4,0,30.12,12.23
650,26.0,3,0,42.57,13.21
650,26.0,2,0,29.99,12.54
655,26.2,4,0,29.95,12.37
655,26.2,3,0,43.04,12.08
655,26.2,2,0,29.94,12.58
660,26.4,4,0,31.31,10.6
660,26.4,3,0,43.23,12.32
665,26.6,2,0,30.82,11.48
665,26.6,3,0,43.54,11.54
670,26.8,2,0,29.8,12.7
670,26.8,3,0,44.51,9.21
675,27.0,2,0,30.08,12.55
680,27.2,2,0,30.22,12.47
685,27.4,5,0,30.74,12.24
730,29.2,2,0,31.91,10.53
760,30.4,6,0,50.81,2.98
765,30.6,6,0,50.75,3.33
770,30.8,6,0,50.68,3.46
770,30.8,7,0,52.36,13.68
775,31.0,7,0,52.34,13.94
780,31.2,7,0,52.41,13.87
785,31.4,7,0,52.35,14.79
790,31.6,8,0,59.26,11.97
795,31.8,8,0,59.65,12.35
795,31.8,9,0,45.84,1.77
815,32.6,9,0,45.64,2.36
820,32.8,9,0,45.6,2.55
830,33.2,10,0,42.04,17.34
845,33.8,11,0,67.35,14.93
850,34.0,11,0,67.21,14.73
860,34.4,13,0,43.73,20.5
860,34.4,12,0,58.81,19.21
860,34.4,11,0,67.68,15.64
865,34.6,12,0,58.84,18.89
865,34.6,13,0,43.77,20.96
865,34.6,11,0,67.61,15.86
870,34.8,12,0,59.3,20.69
875,35.0,14,0,71.07,15.01
875,35.0,12,0,59.79,22.22
880,35.2,14,0,70.85,14.75
1075,43.0,15,0,44.55,13.42
1605,64.2,16,0,32.68,16.76
1610,64.4,16,0,32.76,16.42
1620,64.8,17,0,31.42,17.83
1625,65.0,17,0,31.73,17.2
1640,65.6,16,0,32.5,16.2
1660,66.4,18,0,28.58,16.08
1665,66.6,18,0,28.79,15.8
1670,66.8,18,0,28.21,16.53
1670,66.8,19,0,12.3,17.83
1675,67.0,18,0,28.5,16.31
1675,67.0,19,0,12.8,17.44
1680,67.2,18,0,26.62,18.54
1680,67.2,20,0,32.87,18.05
1680,67.2,19,0,13.46,16.94
1685,67.4,18,0,26.26,18.87
1690,67.6,18,0,27.58,17.05
1700,68.0,21,0,25.76,18.66
1700,68.0,19,0,13.79,16.77
1705,68.2,21,0,26.83,17.23
1705,68.2,19,0,14.52,16.29
1710,68.4,19,0,15.03,15.89
1715,68.6,22,0,25.22,18.2
1715,68.6,19,0,15.04,15.92
1720,68.8,22,0,24.12,19.14
1720,68.8,19,0,15.21,15.78
1765,70.6,23,0,19.63,20.51
1765,70.6,19,0,16.45,14.98
1770,70.8,23,0,20.65,19.23
1775,71.0,23,0,19.08,20.66
1805,72.2,24,0,37.07,17.51
1810,72.4,24,0,36.68,18.22
1815,72.6,24,0,36.18,19.06
1820,72.8,24,0,36.75,17.82
1960,78.4,25,0,23.51,13.39
1965,78.6,25,0,23.89,13.07
1985,79.4,25,0,24.79,12.35
1995,79.8,25,0,25.01,12.1
2085,83.4,26,0,28.14,11.56
2090,83.6,27,0,34.83,22.55
2145,85.8,28,0,44.03,19.29
2145,85.8,20,0,35.24,14.06
2150,86.0,28,0,44.42,18.39
2265,90.6,29,0,34.34,12.26
2270,90.8,29,0,34.34,12.3
2275,91.0,29,0,34.26,12.42
2280,91.2,29,0,34.54,12.04
2300,92.0,30,0,35.24,11.7
2305,92.2,30,0,35.25,11.67
2310,92.4,30,0,35.26,11.61
2315,92.6,29,0,34.86,11.56
2320,92.8,29,0,34.65,11.74
2325,93.0,29,0,35.01,11.14
2365,94.6,29,0,35.85,9.97
2530,101.2,31,0,49.41,19.73
4950,198.0,32,0,46.99,13.58
4970,198.8,32,0,46.9,14.78
4975,199.0,32,0,46.7,15.91
5155,206.2,33,0,38.34,9.79
5160,206.4,33,0,38.87,8.74
5165,206.6,33,0,38.77,8.95
5245,209.8,34,0,61.59,15.91
5660,226.4,35,0,46.6,17.72
5665,226.6,35,0,46.63,17.6
5670,226.8,35,0,46.41,18.81
5675,227.0,35,0,46.32,19.29
5680,227.2,35,0,46.22,20.33
5685,227.4,35,0,46.16,21.05
